ID,Stay,Age,InfctRsk,Xray
1,7.13,55.7,4.1,39.6
2,8.82,58.2,1.6,51.7
3,8.34,56.9,2.7,74
4,8.95,53.7,5.6,122.8
5,11.2,56.5,5.7,88.9
6,9.76,50.9,5.1,97
7,9.68,57.8,4.6,79
8,11.18,45.7,5.4,85.8
9,8.67,48.2,4.3,90.8
10,8.84,56.3,6.3,82.6
11,11.07,53.2,4.9,122
12,8.3,57.2,4.3,83.8
13,12.78,56.8,7.7,116.9
14,7.58,56.7,3.7,88
15,9,56.3,4.2,76.4
16,11.08,50.2,5.5,63.6
17,8.28,48.1,4.5,101.8
18,11.62,53.9,6.4,99.2
19,9.06,52.8,4.2,75.9
20,9.35,53.8,4.1,80.9
21,7.53,42,4.2,98.9
22,10.24,49,4.8,112.6
23,9.78,52.3,5,95.9
24,9.84,62.2,4.8,82.3
25,9.2,52.2,4,71.1
26,8.28,49.5,3.9,113.1
27,9.31,47.2,4.5,101.3
28,8.19,52.1,3.2,59.2
29,11.65,54.5,4.4,96.1
30,9.89,50.5,4.9,103.6
31,11.03,49.9,5,102.1
32,9.84,53,5.2,72.6
33,11.77,54.1,5.3,56
34,13.59,54,6.1,111.7
35,9.74,54.4,6.3,76.1
36,10.33,55.8,5,104.3
37,9.97,58.2,2.8,76.5
38,7.84,49.1,4.6,87.9
39,10.47,53.2,4.1,69.1
40,8.16,60.9,1.3,58
41,8.48,51.1,3.7,92.8
42,10.72,53.8,4.7,94.1
43,11.2,45,3,78.9
44,10.12,51.7,5.6,79.1
45,8.37,50.7,5.5,84.8
46,10.16,54.2,4.6,51.5
47,19.56,59.9,6.5,113.7
48,10.9,57.2,5.5,71.9
49,7.67,51.7,1.8,40.4
50,8.88,51.5,4.2,86.9
51,11.48,57.6,5.6,82
52,9.23,51.6,4.3,42.6
53,11.41,61.1,7.6,97.9
54,12.07,43.7,7.8,105.3
55,8.63,54,3.1,56.2
56,11.15,56.5,3.9,73.9
57,7.14,59,3.7,75.8
58,7.65,47.1,4.3,65.7
59,10.73,50.6,3.9,101
60,11.46,56.9,4.5,97.7
61,10.42,58,3.4,59
62,11.18,51,5.7,55.9
63,7.93,64.1,5.4,98.1
64,9.66,52.1,4.4,98.3
65,7.78,45.5,5,71.6
66,9.42,50.6,4.3,62.8
67,10.02,49.5,4.4,93
68,8.58,55,3.7,95.9
69,9.61,52.4,4.5,87.2
70,8.03,54.2,3.5,87.3
71,7.39,51,4.2,88.4
72,7.08,52,2,56.4
73,9.53,51.5,5.2,65.7
74,10.05,52,4.5,87.5
75,8.45,38.8,3.4,85
76,6.7,48.6,4.5,80.8
77,8.9,49.7,2.9,86.9
78,10.23,53.2,4.9,77.9
79,8.88,55.8,4.4,76.8
80,10.3,59.6,5.1,88.9
81,10.79,44.2,2.9,56.6
82,7.94,49.5,3.5,92.3
83,7.63,52.1,5.5,61.1
84,8.77,54.5,4.7,47
85,8.09,56.9,1.7,56.9
86,9.05,51.2,4.1,79.8
87,7.91,52.8,2.9,79.5
88,10.39,54.6,4.3,88.3
89,9.36,54.1,4.8,90.6
90,11.41,50.4,5.8,73
91,8.86,51.3,2.9,87.5
92,8.93,56,2,72.5
93,8.92,53.9,1.3,79.5
94,8.15,54.9,5.3,79.8
95,9.77,50.2,5.3,89.7
96,8.54,56.1,2.5,82.5
97,8.66,52.8,3.8,69.5
98,12.01,52.8,4.8,96.9
99,7.95,51.8,2.3,54.9
100,10.15,51.9,6.2,59.2
101,9.76,53.2,2.6,80.1
102,9.89,45.2,4.3,108.7
103,7.14,57.6,2.7,92.6
104,13.95,65.9,6.6,133.5
105,9.44,52.5,4.5,58.5
106,10.8,63.9,2.9,57.4
107,7.14,51.7,1.4,45.7
108,8.02,55,2.1,46.5
109,11.8,53.8,5.7,116.9
110,9.5,49.3,5.8,70.9
111,7.7,56.9,4.4,67.9
112,17.94,56.2,5.9,91.8
113,9.41,59.5,3.1,91.7
,8,50,,82
